code,type,floor,isin,status,companyName,companyNameEng,shortName,shortNameEng,listedDate,companyId,taxCode,delistedDate,indexCode
GB05F2309,DERIVATIVE,HNX,VNGB05F23090,delisted,Hợp đồng tương lai TPCP kỳ hạn 05 năm tháng 09/2023,,,,2022-12-16,900,,2023-09-15,
GB10F2309,DERIVATIVE,HNX,VNGB10F23090,delisted,Hợp đồng tương lai TPCP kỳ hạn 10 năm tháng 09/2023,,,,2022-12-26,901,,2023-09-25,
VN30F2306,DERIVATIVE,HNX,VNVN30F23068,delisted,Hợp đồng tương lai chỉ số VN30 tháng 06/2023,,,,2022-10-21,887,,2023-06-15,
GB05F2306,DERIVATIVE,HNX,VNGB05F23066,delisted,Hợp đồng tương lai TPCP kỳ hạn 05 năm  tháng 06/2023,,,,2022-09-16,836,,2023-06-15,
VN30F2211,DERIVATIVE,HNX,VNVN30F22110,delisted,Hợp đồng tương lai chỉ số VN30 tháng 11/2022,,,,2022-09-16,837,,2022-11-17,
VN30F2301,DERIVATIVE,HNX,VN30F2301,delisted,Hợp đồng tương lai chỉ số VN30 tháng 01/2023,,,,2022-11-18,898,,2023-01-19,
GB10F2303,DERIVATIVE,HNX,VNGB10F23033,delisted,Hợp đồng tương lai TPCP kỳ hạn 10 năm tháng 03/2023,,,,2022-06-27,767,,2023-03-24,
VC9,STOCK,HNX,VN000000VC96,listed,Công ty Cổ phần Xây dựng số 9 ,Construction Joint Stock Company No 9,Xây dựng số 9,VC9,2009-11-05,2528,0101051096,,
HAD,STOCK,HNX,VN000000HAD3,listed,Công ty Cổ phần Bia Hà Nội - Hải Dương,Ha Noi - Hai Duong Beer Joint Stock Company,Bia HN Hải Dương,HADUBECO,2009-10-27,2555,0800283766,,
TV3,STOCK,HNX,VN000000TV30,listed,Công ty Cổ phần Tư vấn xây dựng điện 3,Power Engineering Consulting Joint Stock Company,Tư vấn XD điện 3,Power Engineering Cons 3,2009-12-01,2576,0301475102,,
VN30F2210,DERIVATIVE,HNX,VNVN30F22102,delisted,Hợp đồng tương lai chỉ số VN30 tháng 10/2022,,,,2022-08-19,811,,2022-10-20,
VE3,STOCK,HNX,VN000000VE37,listed,Công ty Cổ phần Xây dựng điện VNECO 3 ,VNECO 3 Electricity Construction Joint Stock Company,XD Điện VNECO 3,VNECO 3 Electricity Construction,2010-06-30,2816,2900576216,,
VLA,STOCK,HNX,VN000000VLA7,listed,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,Van Lang Technology Development and Investment Joint Stock Company,C.nghệ Văn Lang,Van Lang Technology Develop,2010-08-04,2873,0102459018,,
GB10F2306,DERIVATIVE,HNX,VNGB10F23066,delisted,Hợp đồng tương lai TPCP kỳ hạn 10 năm  tháng 06/2023,,,,2022-09-26,877,,2023-06-23,
PV2,STOCK,HNX,VN000000PV26,listed,Công ty Cổ phần Đầu tư PV2 ,PV2 Investment Joint Stock Company,CTCP Đầu tư PV2,PV2 Invest,2010-12-16,3068,0102306389,,
KST,STOCK,HNX,VN000000KST5,listed,Công ty Cổ phần KASATI,Kasati Joint Stock Company,CTCP KASATI,KASATI,2010-12-29,3073,0302826473,,
PSE,STOCK,HNX,VN000000PSE6,listed,Công ty Cổ phần Phân Bón và Hóa Chất Dầu Khí Đông Nam Bộ ,South-East PetroVietNam Fertilizer Chemicals Joint Stock Company,H.chất DK Đ.N.Bộ,PVFCCo SE,2015-03-18,3300,0305918852,,
VN30F2403,DERIVATIVE,HNX,VNVN30F24033,delisted,Hợp đồng tương lai chỉ số VN30 tháng 03/2024,,,,2023-07-21,1050,,2024-03-21,
VN30F2304,DERIVATIVE,HNX,VNVN30F23043,delisted,Hợp đồng tương lai chỉ số VN30 tháng 04/2023,,,,2023-02-17,930,,2023-04-20,
VN30F2305,DERIVATIVE,HNX,VNVN30F23050,delisted,Hợp đồng tương lai chỉ số VN30 tháng 05/2023,,,,2023-03-17,949,,2023-05-18,
PBP,STOCK,HNX,VN000000PBP8,listed,Công ty Cổ phần Bao bì Dầu khí Việt Nam,PETROVIETNAM PACKAGING JOINT STOCK COMPANY,Bao bì Dầu khí VN,PetroVietnam Packaging,2015-01-27,4212,1900437757,,
SHE,STOCK,HNX,VN000000SHE3,listed,Công ty cổ phần Phát triển năng lượng Sơn Hà,Son Ha Development Of Renewable Energy Joint Stock Company,P.triển n.lượng Sơn Hà,Son Ha Energy,2019-01-25,6153,0101809894,,
HMR,STOCK,HNX,VN000000HMR8,listed,Công ty cổ phần Đá Hoàng Mai,Hoang Mai Stone Joint Stock Company,Công ty đá Hoàng Mai,Hoang Mai Stone,2022-01-13,8457,2901437166,,
CII121006,BOND,HNX,VNCII1210067,delisted,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh ,Ho Chi Minh City Infrastructure Investment Joint Stock Company,H.tầng KT HCM,Ho Chi Minh Infrastructure,2021-07-05,198,0302483177,2024-03-29,
PVI,STOCK,HNX,VN000000PVI1,listed,Công ty Cổ phần PVI,PVI Holdings,CTCP PVI,PVI,2007-08-10,424,0100151161,,
BCC,STOCK,HNX,VN000000BCC4,listed,Công ty Cổ phần Xi măng Bỉm Sơn,Bim Son Cement Joint Stock Company,Xi măng Bỉm Sơn,Bim Son Cement,2006-11-24,440,2800232620,,
BID122004,BOND,HNX,VNBID1220044,listed,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam ,Bank for Investment and development of Vietnam,Ngân hàng BIDV,BIDV,2022-05-20,446,0100150619,,
BID122005,BOND,HNX,VNBID1220051,listed,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam ,Bank for Investment and development of Vietnam,Ngân hàng BIDV,BIDV,2022-05-20,446,0100150619,,
TCI12301,BOND,HNX,VN0TCI123018,listed,Công ty cổ phần Chứng khoán Thành Công,ThanhCong Securities Company,CK Thành Công,Thanh Cong Securities,2023-12-06,1255,0305477911,,
NVC,STOCK,HNX,,delisted,Công ty Cổ phần Nam Vang ,Nam Vang Corporation,,Nam Vang Corp,2008-01-24,2222,0100598739,2014-05-23,
HUT,STOCK,HNX,VN000000HUT7,listed,Công ty Cổ phần TASCO ,Tasco Joint Stock Company,CTCP TASCO,HUD - Tasco,2008-04-11,2310,0600264117,,HNX30
